,ativo,retorno_ult_ativo,ranking_ativo,segmento
163,TUPY3,-6.65,164,pecas_auto
164,ELET3,-6.65,165,energia
165,SAPR11,-6.94,166,saneamento
166,BBDC4,-6.98,167,bancos
167,BRSR6,-7.09,168,bancos
168,LCAM3,-7.25,169,locadoras
169,DMVF3,-7.39,170,comidas_bedidas_farmacia
170,LUPA3,-7.41,171,oleo_gas
171,VLID3,-7.48,172,tech
172,EZTC3,-7.49,173,construtoras
173,MOVI3,-7.5,174,locadoras
174,MDIA3,-7.54,175,comidas_bedidas_farmacia
175,ABEV3,-7.68,176,comidas_bedidas_farmacia
176,ODPV3,-7.68,177,saude
177,PRNR3,-7.88,178,industriais
178,VALE3,-7.93,179,mineracao_metais
179,BMGB4,-8.1,180,bancos
180,TRPL4,-8.15,181,energia
181,PFRM3,-8.27,182,saude
182,SANB11,-8.36,183,bancos
183,PLPL3,-8.5,184,construtoras
184,VIVR3,-8.59,185,construtoras
185,LEVE3,-8.78,186,pecas_auto
186,PETR3,-8.92,187,oleo_gas
187,MTRE3,-8.95,188,construtoras
188,MELK3,-9.23,189,construtoras
189,COGN3,-9.31,190,educacao
190,GPCP3,-9.31,191,industriais
191,LLIS3,-9.33,192,vestuario
192,ANIM3,-9.52,193,educacao
193,SULA11,-9.97,194,seguro
194,ITSA4,-10.4,195,servicos_financeiro
195,TCSA3,-10.47,196,construtoras
196,CNTO3,-10.84,197,vestuario
197,OIBR3,-12.45,198,telecom
198,TGMA3,-12.57,199,infra_logistica
199,SLED3,-12.61,200,varejo_especializado
200,SGPS3,-12.78,201,varejo_especializado
201,IRBR3,-12.86,202,seguro
202,AGRO3,-13.21,203,agro
203,ITUB4,-13.28,204,bancos
204,CSNA3,-13.4,205,mineracao_metais
205,BBAS3,-13.77,206,bancos
206,RCSL4,-13.86,207,industriais
207,LIGT3,-14.52,208,energia
208,GGBR4,-14.81,209,mineracao_metais
209,USIM5,-15.08,210,mineracao_metais
210,POMO4,-15.17,211,pecas_auto
211,BOAS3,-17.44,212,servicos_financeiro
212,BRAP4,-17.63,213,mineracao_metais
